행정구역,2024년05월_총인구수,2024년05월_세대수,2024년05월_세대당 인구,2024년05월_남자 인구수,2024년05월_여자 인구수,2024년05월_남여 비율
대구광역시  (2700000000),2367803,1099465,2.15,1162463,1205340,0.96
대구광역시 대구광역시 중구 (2711000000),91902,46352,1.98,43983,47919,0.92
대구광역시 대구광역시 동구 (2714000000),342874,163943,2.09,167932,174942,0.96
대구광역시 대구광역시 서구 (2717000000),163606,84125,1.94,81196,82410,0.99
대구광역시 대구광역시 남구 (2720000000),137147,75333,1.82,65471,71676,0.91
대구광역시 대구광역시 북구 (2723000000),416574,191764,2.17,206480,210094,0.98
대구광역시 대구광역시 수성구 (2726000000),408593,173752,2.35,196698,211895,0.93
대구광역시 대구광역시 달서구 (2729000000),524736,236719,2.22,257270,267466,0.96
대구광역시 대구광역시 달성군 (2771000000),259619,113962,2.28,131679,127940,1.03
대구광역시 대구광역시 군위군 (2772000000),22752,13515,1.68,11754,10998,1.07
